Change Physical Footprint: Designator=P1 Old Footprint=2X23 hEADER New Footprint=2X23 hEADER
Change Physical Footprint: Designator=P2 Old Footprint=2X23 hEADER New Footprint=2X23 hEADER
Change Physical Footprint: Designator=P3 Old Footprint=2222 New Footprint=2222
Change Physical Footprint: Designator=P4 Old Footprint=HDR1X2 New Footprint=HDR1X2
Change Physical Footprint: Designator=P5 Old Footprint=HDR1X2 New Footprint=HDR1X2
Change Physical Footprint: Designator=P6 Old Footprint=HDR1X2 New Footprint=HDR1X2
Change Physical Footprint: Designator=P7 Old Footprint=HDR1X2 New Footprint=HDR1X2
Change Physical Footprint: Designator=P8 Old Footprint=HDR1X2 New Footprint=HDR1X2
Change Physical Footprint: Designator=P9 Old Footprint=HDR1X2 New Footprint=HDR1X2
Change Physical Footprint: Designator=P10 Old Footprint=HDR1X2 New Footprint=HDR1X2
Change Physical Footprint: Designator=Q1 Old Footprint=ONSC-TO-92-3-29-11 New Footprint=ONSC-TO-92-3-29-11
Change Physical Footprint: Designator=R1 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
Change Physical Footprint: Designator=R2 Old Footprint=AXIAL-0.3 New Footprint=AXIAL-0.3
